open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,take_buy_base_asset_volume,take_buy_quote_asset_volume,ignore
1611748800000,30635.74,31057.0,29241.72,30322.61,26358.946289,1611763199999,795484959.1686411,504163,12439.663153,375525664.1192492,0.0
1611763200000,30322.59,30948.0,29500.0,30740.33,19597.19007,1611777599999,595763714.8790919,421653,9638.014344,293109186.41438824,0.0
1611777600000,30731.57,31649.99,30084.24,30366.15,15362.535146,1611791999999,474653160.97907424,348202,7887.011398,243988751.57967278,0.0
1611792000000,30362.19,31526.78,29842.1,31404.25,14152.379268,1611806399999,435924961.71240294,300704,6851.072809,211254158.89939675,0.0
1611806400000,31406.9,31876.63,31045.7,31170.53,12487.834284,1611820799999,392550331.4236077,262731,6643.431113,208907041.57160285,0.0
1611820800000,31170.2,31600.0,30812.26,31437.37,11864.190133,1611835199999,370666045.3500535,296903,5790.495498,180967411.46192876,0.0
1611835200000,31437.37,32203.38,31161.96,31926.49,18406.774804,1611849599999,584775067.9782194,427893,9485.551582,301372791.25082445,0.0
1611849600000,31926.49,32747.78,31650.0,32564.71,16889.869122,1611863999999,545495554.2249303,354427,8240.319866,266135523.44687247,0.0
1611864000000,32564.71,33783.98,32392.34,33364.86,18820.098006,1611878399999,624141253.3764681,418002,9056.911458,300319229.85444605,0.0
1611878400000,33368.18,34310.0,33330.93,33733.58,26746.707141,1611892799999,907436356.7540778,556161,12931.079039,438689916.5755035,0.0
1611892800000,33728.99,33934.48,31915.4,32266.35,28364.158989,1611907199999,929693321.5138168,551893,14038.277553,460034420.2753033,0.0
1611907200000,32266.36,37990.0,32006.91,37025.32,74717.370406,1611921599999,2682750235.996631,1316291,40269.054256,1443964076.1958935,0.0
1611921600000,37023.83,38531.9,36456.78,37129.4,39582.779151,1611935999999,1480385937.429743,786707,19849.37607,742761806.6223451,0.0
1611936000000,37129.4,37569.0,33500.0,34318.57,41001.26865,1611950399999,1456938433.9274783,716740,19431.254501,691043344.6180445,0.0
1611950400000,34322.5,35354.94,33700.0,34252.2,21414.721289,1611964799999,738389050.6067199,475557,10018.206428,345447469.35023516,0.0
1611964800000,34246.28,34933.0,32825.0,33273.36,19111.756794,1611979199999,649587224.970392,415979,9455.880028,321764138.4505526,0.0
1611979200000,33273.36,34200.0,33001.52,34046.8,15377.313948,1611993599999,515738731.86226875,403923,7617.268605,255570714.8108793,0.0
1611993600000,34046.82,34424.7,33510.0,33660.4,15905.5068,1612007999999,542203974.9161633,353843,7665.682441,261318500.19748077,0.0
1612008000000,33660.4,34500.0,33410.63,34210.2,11980.511464,1612022399999,407358942.5816643,333598,6401.041777,217699659.36490193,0.0
1612022400000,34210.18,34400.02,33520.0,34286.5,13229.455441,1612036799999,450347242.8238449,412108,6619.564758,225395794.83993277,0.0
1612036800000,34286.5,34800.0,33966.4,34262.88,9285.136893,1612051199999,319263945.7837451,281589,4659.02949,160232592.9898909,0.0
1612051200000,34262.89,34342.69,33655.0,33930.21,9135.958182,1612065599999,310542284.9931352,247552,4382.395593,148979042.2561146,0.0
1612065600000,33930.22,34127.65,33450.0,33607.98,7736.688684,1612079999999,261383670.9742818,212516,3719.986845,125702512.64885636,0.0
1612080000000,33607.68,33832.94,33205.0,33563.23,9660.993404,1612094399999,324275560.78096247,247368,4827.617267,162083808.2377401,0.0
1612094400000,33563.24,34220.0,32554.0,32862.66,15985.658616,1612108799999,534188589.8619568,361848,7506.568369,251072458.4255446,0.0
1612108800000,32862.65,33077.9,32171.67,32808.8,15824.566268,1612123199999,517415474.3430228,357854,7389.90589,241682179.69824222,0.0
1612123200000,32807.29,33255.49,32461.23,33092.98,10398.41523,1612137599999,341835464.80465317,279926,4653.973394,152982550.25407326,0.0
1612137600000,33092.97,33830.0,32296.16,33573.97,14674.649038,1612151999999,486639234.9179163,311289,7561.727172,250878102.02691746,0.0
1612152000000,33573.25,34427.0,33284.24,33803.97,15350.212491,1612166399999,517508556.1001611,371011,8060.379705,271871677.94309384,0.0
